Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Lawrence Taylor,222.55,2,8,10,13,1981,1993,146,184,180,9,134,2,97,,142,,,,,
Derrick Brooks,164.5,1,5,11,14,1995,2008,142,224,221,25,530,6,97,84,13.5,1713,1300,413,68,1
Jack Ham,141.68,4,6,8,12,1971,1982,113,162,160,32,218,1,32,,25.5,,,,,
Ted Hendricks,136.2,4,4,8,14,1969,1983,112,215,200,26,332,1,44,,61,,,,,
Junior Seau,121.98,0,6,12,16,1990,2009,133,268,243,18,238,0,42,43,56.5,1847,1522,325,80,11
Bobby Bell,112.43,1,6,9,12,1963,1974,104,168,159,26,479,6,61,,40,,,,,
Average HOF OLB,103,1,4,8,12,,,105,187,175,16,231,2,49,,74,,,,,
Derrick Thomas,99.65,0,2,9,11,1989,1999,104,169,157,1,20,0,20,5,126.5,641,599,42,10,
Von Miller,98.78,2,3,8,10,2011,2023,104,173,161,2,68,1,42,24,123.5,564,433,131,164,248
Kevin Greene,96.28,0,2,5,11,1985,1999,93,228,176,5,53,1,25,1,160,734,669,65,18,
DeMarcus Ware,95.33,1,4,9,11,2005,2016,100,178,173,3,44,1,41,25,138.5,657,505,152,171,229
Khalil Mack,95.05,0,3,8,8,2014,2023,95,151,150,3,66,2,33,34,101.5,591,442,149,136,170
Terrell Suggs,94.3,2,1,7,15,2003,2019,110,244,226,7,144,2,44,63,139,895,630,265,202,200
Larry Grantham,85.55,1,5,5,13,1960,1972,92,175,166,24,308,1,41,,38.5,,,,,
Rickey Jackson,76.18,1,0,6,15,1981,1995,112,227,224,8,68,0,32,,136,1180,1173,7,,
James Harrison,75.43,2,2,5,8,2002,2017,91,193,117,8,95,0,33,24,84.5,811,583,228,128,150
Dave Robinson,74.35,3,2,3,9,1963,1974,83,155,133,27,449,1,87,,28.5,,,,,
Pat Swilling,73.55,0,2,5,9,1986,1998,98,185,142,6,79,1,39,,107.5,490,468,22,,
Chuck Howley,70.7,1,5,6,12,1958,1973,94,180,161,25,399,2,58,,26,,,,,
Joe Fortunato,69.78,1,3,5,12,1955,1966,71,155,153,16,156,1,36,,21,,,,,
T.J. Watt,69.1,0,4,6,6,2017,2023,80,104,104,7,48,0,24,45,96.5,401,291,110,107,198
Chris Hanburger,68.3,0,3,9,12,1965,1978,100,187,175,19,347,2,45,,45.5,,,,,
Joey Porter,65.58,1,1,4,11,1999,2011,90,188,171,12,233,1,84,49,98,689,516,173,124,72
Andre Tippett,64.88,0,2,5,10,1982,1993,90,151,139,1,42,0,32,,100,,,,,
Cornelius Bennett,63.28,0,1,5,14,1987,2000,91,206,204,7,112,1,69,9,71.5,1190,1048,142,16,
Wilber Marshall,63.05,2,2,3,10,1984,1995,99,179,153,23,304,3,58,,45,1043,1020,23,,
Isiah Robertson,62.78,0,2,6,11,1971,1982,103,168,159,25,349,3,76,,24.5,,,,,
Maxie Baughan,61.95,1,1,9,11,1960,1974,88,147,143,18,218,1,33,,24.5,,,,,
Robert Brazile,60.75,0,2,7,10,1975,1984,76,147,147,13,201,0,33,,48,,,,,
